event,date,articleLink
Yemenite War of 1979,1979,https://en.wikipedia.org/wiki/Second_Yemenite_War
Salvadoran Civil War,1979,https://en.wikipedia.org/wiki/Salvadoran_Civil_War
Rhodesian Bush War,1979,https://en.wikipedia.org/wiki/Rhodesian_Bush_War
Soviet–Afghan War,1979,https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War
Iran–Iraq War,1980,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War
Ugandan Bush War,1980,https://en.wikipedia.org/wiki/Ugandan_Bush_War
Paquisha War,1981,https://en.wikipedia.org/wiki/Paquisha_War
Ugandan Bush War,1981,https://en.wikipedia.org/wiki/Ugandan_Bush_War
Second Mafia War,1981,https://en.wikipedia.org/wiki/Second_Mafia_War
Falklands War,1982,https://en.wikipedia.org/wiki/Falklands_War
1982 Ethiopian–Somali Border War,1982,https://en.wikipedia.org/wiki/1982_Ethiopian%E2%80%93Somali_Border_War
Casamance conflict,1982,https://en.wikipedia.org/wiki/Casamance_conflict
Falklands War,1982,https://en.wikipedia.org/wiki/Falklands_War
1982 Ethiopian–Somali Border War,1982,https://en.wikipedia.org/wiki/1982_Ethiopian%E2%80%93Somali_Border_War
1982 Lebanon War,1982,https://en.wikipedia.org/wiki/1982_Lebanon_War
Chadian–Nigerian War,1983,https://en.wikipedia.org/wiki/Chadian%E2%80%93Nigerian_War
Chadian–Nigerian War,1983,https://en.wikipedia.org/wiki/Chadian%E2%80%93Nigerian_War
Second Sudanese Civil War,1983,https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
Eelam War I,1983,https://en.wikipedia.org/wiki/Eelam_War_I
Sri Lankan civil war,1983,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
Agacher Strip War,1985,https://en.wikipedia.org/wiki/Agacher_Strip_War
Suriname Guerrilla War,1986,https://en.wikipedia.org/wiki/Surinamese_Interior_War
South Yemen civil war,1986,https://en.wikipedia.org/wiki/South_Yemen_civil_war
South Yemen civil war,1986,https://en.wikipedia.org/wiki/South_Yemen_civil_war
Three Hundred and Thirty Five Years' War,1986,https://en.wikipedia.org/wiki/Three_Hundred_and_Thirty_Five_Years%27_War
Suriname Guerrilla War,1986,https://en.wikipedia.org/wiki/Surinamese_Interior_War
Toyota War,1986,https://en.wikipedia.org/wiki/Toyota_War
Lord's Resistance Army insurgency,1987,https://en.wikipedia.org/wiki/Lord%27s_Resistance_Army_insurgency
Chadian–Libyan War,1987,https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_War
Toyota War,1987,https://en.wikipedia.org/wiki/Toyota_War
First Nagorno-Karabakh War,1988,https://en.wikipedia.org/wiki/First_Nagorno-Karabakh_War
Bougainville conflict,1988,https://en.wikipedia.org/wiki/Bougainville_conflict
Velvet Revolution,1989,https://en.wikipedia.org/wiki/Velvet_Revolution
Afghan Civil War,1989,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1989%E2%80%931992)
Cambodian–Vietnamese War,1989,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Vietnamese_War
Georgian–Ossetian conflict,1989,https://en.wikipedia.org/wiki/Georgian%E2%80%93Ossetian_conflict
Velvet Revolution,1989,https://en.wikipedia.org/wiki/Velvet_Revolution
Romanian Revolution (1989),1989,https://en.wikipedia.org/wiki/Romanian_revolution
First Liberian Civil War,1989,https://en.wikipedia.org/wiki/First_Liberian_Civil_War
Romanian Revolution (1989),1989,https://en.wikipedia.org/wiki/Romanian_revolution
Eelam War II,1990,https://en.wikipedia.org/wiki/Eelam_War_II
Warri Crisis,1990,https://en.wikipedia.org/wiki/Warri_Crisis
1990 People's Movement,1990,https://en.wikipedia.org/wiki/1990_Nepalese_revolution
1990 People's Movement,1990,https://en.wikipedia.org/wiki/1990_Nepalese_revolution
Eelam War II,1990,https://en.wikipedia.org/wiki/Eelam_War_II
Gulf War,1990,https://en.wikipedia.org/wiki/Gulf_War
Rwandan Civil War,1990,https://en.wikipedia.org/wiki/Rwandan_Civil_War
Transnistria War,1990,https://en.wikipedia.org/wiki/Transnistria_War
1991–1992 South Ossetia War,1991,https://en.wikipedia.org/wiki/South_Ossetia_war_(1991%E2%80%931992)
Somali Civil War,1991,https://en.wikipedia.org/wiki/Somali_Civil_War
Sierra Leone Civil War,1991,https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War
Croatian War of Independence,1991,https://en.wikipedia.org/wiki/Croatian_War_of_Independence
Western Sahara War,1991,https://en.wikipedia.org/wiki/Western_Sahara_War
Djiboutian Civil War,1991,https://en.wikipedia.org/wiki/Djiboutian_Civil_War
Georgian Civil War of 1991-1993,1991,https://en.wikipedia.org/wiki/Georgian_Civil_War
1991-92 Georgian coup d'état,1991,https://en.wikipedia.org/wiki/1991%E2%80%931992_Georgian_coup_d%27%C3%A9tat
1991-92 Georgian coup d'état,1992,https://en.wikipedia.org/wiki/1991%E2%80%931992_Georgian_coup_d%27%C3%A9tat
Algerian Civil War,1992,https://en.wikipedia.org/wiki/Algerian_Civil_War
Salvadoran Civil War,1992,https://en.wikipedia.org/wiki/Salvadoran_Civil_War
War in Bosnia and Herzegovina,1992,https://en.wikipedia.org/wiki/Bosnian_War
Afghan Civil War,1992,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1992%E2%80%931996)
Tajikistani Civil War,1992,https://en.wikipedia.org/wiki/Tajikistani_Civil_War
Croat–Bosniak War,1992,https://en.wikipedia.org/wiki/Croat%E2%80%93Bosniak_War
War in Abkhazia,1992,https://en.wikipedia.org/wiki/War_in_Abkhazia_(1992%E2%80%931993)
Mozambican Civil War,1992,https://en.wikipedia.org/wiki/Mozambican_Civil_War
Croat–Bosniak War,1992,https://en.wikipedia.org/wiki/Croat%E2%80%93Bosniak_War
55 Day War,1993,https://en.wikipedia.org/wiki/55_Day_War
Inter-Bosnian Muslim War,1993,https://en.wikipedia.org/wiki/Intra-Bosnian_Muslim_War
Burundi Civil War,1993,https://en.wikipedia.org/wiki/Burundian_Civil_War
Iraqi Kurdish Civil War,1994,https://en.wikipedia.org/wiki/Iraqi_Kurdish_Civil_War
First Chechen War,1994,https://en.wikipedia.org/wiki/First_Chechen_War
Djiboutian Civil War,1994,https://en.wikipedia.org/wiki/Djiboutian_Civil_War
Eelam War III,1995,https://en.wikipedia.org/wiki/Eelam_War_III
Cenepa War,1995,https://en.wikipedia.org/wiki/Cenepa_War
Cenepa War,1995,https://en.wikipedia.org/wiki/Cenepa_War
Eelam War III,1995,https://en.wikipedia.org/wiki/Eelam_War_III
Croatian War of Independence,1995,https://en.wikipedia.org/wiki/Croatian_War_of_Independence
Nepalese Civil War,1996,https://en.wikipedia.org/wiki/Nepalese_Civil_War
Operation Grapes of Wrath,1996,https://en.wikipedia.org/wiki/Operation_Grapes_of_Wrath
First Chechen War,1996,https://en.wikipedia.org/wiki/First_Chechen_War
Afghan Civil War,1996,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
First Congo War,1996,https://en.wikipedia.org/wiki/First_Congo_War
Republica oficina the Congo Civil War,1997,https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1997%E2%80%931999)
Tajikistani Civil War,1997,https://en.wikipedia.org/wiki/Tajikistani_Civil_War
Iraqi Kurdish Civil War,1997,https://en.wikipedia.org/wiki/Iraqi_Kurdish_Civil_War
Kosovo War,1998,https://en.wikipedia.org/wiki/Kosovo_War
Kosovo War,1998,https://en.wikipedia.org/wiki/Kosovo_War
Eritrean–Ethiopian War,1998,https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War
1998 War in Abkhazia,1998,https://en.wikipedia.org/wiki/War_in_Abkhazia_(1998)
1998 War in Abkhazia,1998,https://en.wikipedia.org/wiki/War_in_Abkhazia_(1998)
Bissau-Guinean Civil War,1998,https://en.wikipedia.org/wiki/Guinea-Bissau_Civil_War
Second Congo War,1998,https://en.wikipedia.org/wiki/Second_Congo_War
Kargil War,1999,https://en.wikipedia.org/wiki/Kargil_War
Bolivarian Revolution,1999,https://en.wikipedia.org/wiki/Bolivarian_Revolution
Bolivarian Revolution,1999,https://en.wikipedia.org/wiki/Bolivarian_Revolution
Second Liberian Civil War,1999,https://en.wikipedia.org/wiki/Second_Liberian_Civil_War
Kargil War,1999,https://en.wikipedia.org/wiki/Kargil_War
War of Dagestan,1999,https://en.wikipedia.org/wiki/War_in_Dagestan_(1999)
Second Chechen War,1999,https://en.wikipedia.org/wiki/Second_Chechen_War
War of Dagestan,1999,https://en.wikipedia.org/wiki/War_in_Dagestan_(1999)
Republica oficina the Congo Civil War,1999,https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1997%E2%80%931999)
Eritrean–Ethiopian War,2000,https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War
War on Terror,2001,https://en.wikipedia.org/wiki/War_on_terror
War in Afghanistan,2001,https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%932021)
Insurgency in the Maghreb (2002–),2002,https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present)
First Ivorian Civil War,2002,https://en.wikipedia.org/wiki/First_Ivorian_Civil_War
Rose Revolution,2003,https://en.wikipedia.org/wiki/Rose_Revolution
War in Darfur,2003,https://en.wikipedia.org/wiki/War_in_Darfur
Iraq War,2003,https://en.wikipedia.org/wiki/Iraq_War
Iraqi conflict,2003,https://en.wikipedia.org/wiki/Iraqi_conflict
Second Congo War,2003,https://en.wikipedia.org/wiki/Second_Congo_War
insurgency in Khyber Pakhtunkhwa,2004,https://en.wikipedia.org/wiki/Jihadist_Insurgency_in_Pakistan
insurgency in Khyber Pakhtunkhwa,2004,https://en.wikipedia.org/wiki/Jihadist_Insurgency_in_Pakistan
Kivu conflict,2004,https://en.wikipedia.org/wiki/Kivu_conflict
Orange Revolution,2004,https://en.wikipedia.org/wiki/Orange_Revolution
Tulip Revolution,2005,https://en.wikipedia.org/wiki/Tulip_Revolution
Second Sudanese Civil War,2005,https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
Cedar Revolution,2005,https://en.wikipedia.org/wiki/Cedar_Revolution
Tulip Revolution,2005,https://en.wikipedia.org/wiki/Tulip_Revolution
Chad–Sudan Conflict,2005,https://en.wikipedia.org/wiki/Chadian_Civil_War_(2005%E2%80%932010)
2006 Lebanon War,2006,https://en.wikipedia.org/wiki/2006_Lebanon_War
Iraqi Civil War of 2006–2008,2006,https://en.wikipedia.org/wiki/Iraqi_civil_war_(2006%E2%80%932008)
Tuareg Rebellion of 2006,2006,https://en.wikipedia.org/wiki/2006_Tuareg_rebellion
2006 Lebanon War,2006,https://en.wikipedia.org/wiki/2006_Lebanon_War
Eastern Theater of Eelam War IV,2006,https://en.wikipedia.org/wiki/Eastern_Theatre_of_Eelam_War_IV
Eelam War IV,2006,https://en.wikipedia.org/wiki/Eelam_War_IV
Nepalese Civil War,2006,https://en.wikipedia.org/wiki/Nepalese_Civil_War
War in Somalia (2006–2009),2006,https://en.wikipedia.org/wiki/War_in_Somalia_(2006%E2%80%932009)
Iraq War troop surge of 2007,2007,https://en.wikipedia.org/wiki/Iraq_War_troop_surge_of_2007
Iraq War troop surge of 2007,2007,https://en.wikipedia.org/wiki/Iraq_War_troop_surge_of_2007
Insurgency in Ingushetia,2007,https://en.wikipedia.org/wiki/Insurgency_in_Ingushetia
Djiboutian–Eritrean border conflict,2008,https://en.wikipedia.org/wiki/Djiboutian%E2%80%93Eritrean_border_conflict
Djiboutian–Eritrean border conflict,2008,https://en.wikipedia.org/wiki/Djiboutian%E2%80%93Eritrean_border_conflict
Russo-Georgian War,2008,https://en.wikipedia.org/wiki/Russo-Georgian_War
Russo-Georgian War,2008,https://en.wikipedia.org/wiki/Russo-Georgian_War
Gaza War (2008–2009),2008,https://en.wikipedia.org/wiki/Gaza_War_(2008%E2%80%932009)
2009 Eastern Congo offensive,2009,https://en.wikipedia.org/wiki/2009_Eastern_Congo_offensive
Somali Civil War 2009-present,2009,https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present)
2009 Eastern Congo offensive,2009,https://en.wikipedia.org/wiki/2009_Eastern_Congo_offensive
Revolution of Dignity,2010,https://en.wikipedia.org/wiki/Revolution_of_Dignity
Kyrgyz Revolution of 2010,2010,https://en.wikipedia.org/wiki/2010_Kyrgyz_Revolution
Kyrgyz Revolution of 2010,2010,https://en.wikipedia.org/wiki/2010_Kyrgyz_Revolution
Second Ivorian Civil War,2010,https://en.wikipedia.org/wiki/Second_Ivorian_Civil_War
Arab Spring,2010,https://en.wikipedia.org/wiki/Arab_Spring
Arab Spring,2010,https://en.wikipedia.org/wiki/Arab_Spring
Arab Spring,2010,https://en.wikipedia.org/wiki/Arab_Spring
Arab Spring,2010,https://en.wikipedia.org/wiki/Arab_Spring
spillover of the Syrian Civil War,2011,https://en.wikipedia.org/wiki/Spillover_of_the_Syrian_civil_war
First Libyan Civil War,2011,https://en.wikipedia.org/wiki/Libyan_civil_war_(2011)
Islamist insurgency in the Sahel,2011,https://en.wikipedia.org/wiki/Islamist_insurgency_in_the_Sahel
Libyan crisis,2011,https://en.wikipedia.org/wiki/Libyan_crisis_(2011%E2%80%93present)
Syrian revolution,2011,https://en.wikipedia.org/wiki/Syrian_revolution
Syrian civil war,2011,https://en.wikipedia.org/wiki/Syrian_civil_war
spillover of the Syrian Civil War,2011,https://en.wikipedia.org/wiki/Spillover_of_the_Syrian_civil_war
Arab Winter,2012,https://en.wikipedia.org/wiki/Arab_Winter
Mali War,2012,https://en.wikipedia.org/wiki/Mali_War
Revolution of Dignity,2013,https://en.wikipedia.org/wiki/Revolution_of_Dignity
Iraqi Civil War of 2014–2017,2014,https://en.wikipedia.org/wiki/War_in_Iraq_(2013%E2%80%932017)
2014 Abkhazian political crisis,2014,https://en.wikipedia.org/wiki/Abkhazian_Revolution
Russo-Ukrainian War,2014,https://en.wikipedia.org/wiki/Russo-Ukrainian_War
2014 Abkhazian political crisis,2014,https://en.wikipedia.org/wiki/Abkhazian_Revolution
Casamance conflict,2014,https://en.wikipedia.org/wiki/Casamance_conflict
Second Libyan Civil War,2014,https://en.wikipedia.org/wiki/Libyan_civil_war_(2014%E2%80%932020)
Yemeni civil war,2014,https://en.wikipedia.org/wiki/Yemeni_civil_war_(2014%E2%80%93present)
War in Afghanistan,2015,https://en.wikipedia.org/wiki/War_in_Afghanistan_(2015%E2%80%932021)
Jihadist insurgency in Burkina Faso,2015,https://en.wikipedia.org/wiki/Islamist_insurgency_in_Burkina_Faso
Hīt offensive,2016,https://en.wikipedia.org/wiki/Battle_of_Hit_(2016)
Hīt offensive,2016,https://en.wikipedia.org/wiki/Battle_of_Hit_(2016)
War in Catatumbo,2018,https://en.wikipedia.org/wiki/Catatumbo_campaign
2018 Armenian–Azerbaijani clashes,2018,https://en.wikipedia.org/wiki/2018_Armenian%E2%80%93Azerbaijani_clashes
2018 Armenian–Azerbaijani clashes,2018,https://en.wikipedia.org/wiki/2018_Armenian%E2%80%93Azerbaijani_clashes
