Date,Event Description
1955,"the power struggle that followed Stalin's death two years earlier, Nikita Khrushchev assumes control of the Soviet Union."
1955,produced.
1956,of Sudan from Britain.
1956,United States recognises Moroccos independence from France
1956,of Tunisia from France.
1956,becomes a republic.
1956,first Eurovision is held in Switzerland.
1956,7: Nasser's nationalisation of the Suez Canal triggers the Suez crisis.
1956,Hungarian Uprising crushed by Soviet troops.
1956,"Brasília, the new capital of Brazil to replace Rio de Janeiro, begins."
1957,Macmillan becomes Prime Minister of the United Kingdom.
1957,of Ghana from Britain.
1957,President Ramon Magsaysay and 24 others are killed in a plane crash.
1957,"of Rome, which would eventually lead to the European Union."
1957,of the Federation of Malaya.
1957,of Sputnik 1 and the beginning of the Space Age.
1957,becomes the first animal launched into Earth orbit.
1957,flight of the Boeing 707.
1957,of the combined oral contraceptive pill.
1957,"the Asian flu in China, leading to a worldwide pandemic that lasts until the following year."
1958,Hut founded.
1958,58 crisis in France.
1958,formed.
1958,1958 Lebanon crisis.
1958,Aviation Administration formed.
1958,Second Taiwan Strait Crisis.
1958,gains independence from France.
1958,"Fifth Republic established, with Charles de Gaulle as its first President."
1958,XXIII becomes Pope.
1958,"for Nuclear Disarmament (CND) founded. CND's symbol, the peace sign, is first used."
1958,the optical disc and the cassette tape.
1958,the Great Leap Forward in China.
1959,Revolution ends.
1959,"of Alaska, the 49th state, into the United States."
1959,'s Barbie doll debuts in the United States.
1959,of Cyprus.
1959,– 23: Uprising in Tibet against China leads to the exile of the Dalai Lama.
1959,"of Hawaii, the 50th state, into the United States."
1959,USSR probe Luna 3 sends back the first ever photos of the far side of the Moon.
1959,"of the Vietnam War, which lasts until 1975."
1959,reaches three billion.
1959,War begins.
1959,Famine begins in China.
1959,AIDS cases.
1959,"time, the GULAG has been effectively disbanded, after over a million recorded deaths."
1960,"crewed descent to the deepest point on Earth, the Mariana Trench."
1960,"Sharpeville Massacre, in which the police opened fire against a protesting crowd at a police station in the South African township of Sharpeville in Transvaal, resulting in 69 deaths and 180 injuries."
1960,"of Brasília, Brazil's new capital, finished."
1960,1960 U-2 incident sparks deterioration in relations between superpowers.
1960,birth control pill becomes commercially available.
1960,of the first laser.
1960,"earthquake in Valdivia, Chile of magnitude 9.4 to 9.6, the highest ever recorded, causes 1,000 to 6,000 deaths."
1960,becomes Prime Minister of Ceylon and the first female Prime Minister in the world.
1960,– 25: The first edition of the Summer Paralympic Games is hosted in Rome.
1960,"Asanuma, a Japanese socialist politician, is assassinated during a broadcast on TV."
1960,60 United States presidential election marks the first televised debates between presidential candidates.
1960,Trade Association formed.
1960,Africa: Independence of 17 African nations.
1960,"Soviet cooperation with China, initiating the Sino-Soviet split."
1960,Uprising ends.
1960,form in Liverpool.
1961,assassination of Patrice Lumumba begins the Congo Crisis.
1961,F. Kennedy is inaugurated as President of the United States.
1961,"Gagarin, flying the Vostok 1 spacecraft as part of the Vostok program, becomes the first human in space."
1961,– 20: Bay of Pigs Invasion by Cuban exiles ends in failure.
1961,"an address to Congress, John F. Kennedy declares the United States' objective of ""landing a man on the Moon and returning him safely to the Earth"" by the end of the decade. This would be in fact achieved by the Apollo Project, despite several challenges and much doubt."
1961,of the Berlin Wall.
1961,Secretary General Dag Hammarskjöld dies in a plane crash.
1961,Leap Forward ends in China after the deaths of roughly 20–45 million people.
1961,Colonial War begins with the Angolan War of Independence.
1962,Algerian War ends with the independence of Algeria.
1962,"founded in Rogers, Arkansas, by Sam Walton."
1962,"coup ends the Mutawakkilite Kingdom of Yemen, establishing the Yemen Arab Republic and starting the North Yemen Civil War."
1962,Second Vatican Council is opened by Pope John XXIII.
1962,– 29: The Cuban Missile Crisis nearly causes nuclear war.
1962,"–November: The Sino-Indian War, caused by a border dispute in Aksai Chin, ends with a Chinese victory."
1963,"of the Astro Boy anime, the first to be broadcast overseas."
1963,–Malaysia confrontation begins.
1963,"–April: Birmingham campaign, a key event in the 1954-1968 Civil rights movement"
1963,"Beatles' first record, ""Please Please Me"", and the beginnings of the British Invasion."
1963,of the Buddhist crisis in South Vietnam during the Vietnam War.
1963,Dylan releases The Freewheelin' Bob Dylan.
1963,VI becomes Pope.
1963,"of the first geostationary satellite, Syncom 2."
1963,"Luther King Jr. delivers ""I Have a Dream"" speech at the on Washington for Jobs and Freedom."
1963,"1963 South Vietnamese coup: Arrest and assassination of Ngo Dinh Diem, the South Vietnamese President."
1963,of John F. Kennedy. Vice President Lyndon B. Johnson assumes office as President of the United States.
1963,– 12: Independence of Kenya and Zanzibar and creation of Malaysia.
1964,Revolution overthrows Afro Shiraz ruling class; Zanzibar merges with Tanganyika to form Tanzania.
1964,1: A coup d'état establishes a military dictatorship in Brazil.
1964,Great Alaska Earthquake has a magnitude of 9.2 and lasted almost three minutes resulting in the death of approximately 131 people.
1964,armed conflict begins.
1964,Rights Act abolishes segregation in the USA.
1964,Bush War begins.
1964,of Malawi.
1964,Gulf of Tonkin incident led to the escalation of U.S. military involvement in the Vietnam War.
1964,of Malta.
1964,Brezhnev ousts Khrushchev and assumes power in the Soviet Union.
1964,detonates its first nuclear weapon.
1964,launches the Mariner 4 space probe from Cape Kennedy toward Mars to take television pictures of that planet in 1965.
1965,of Winston Churchill.
1965,of Malcolm X.
1965,"Voting Rights Act of 1965, inspired by the Selma to Montgomery marches."
1965,Civil War: Forces loyal to former president Juan Bosch overthrow current leader Donald Reid Cabral.
1965,"of Rede Globo, now the largest TV network in Brazil and Latin America and the second-largest in the world after ABC."
1965,spy Eli Cohen is hanged in Damascus.
1965,gains independence.
1965,Dylan releases Highway 61 Revisited.
1965,Second Indo-Pakistani War.
1965,30 Movement in the Indonesia.
1965,– 25: Congo Crisis ends; Joseph Mobutu becomes dictator of the Congo.
1965,Vatican Council is closed by Pope Paul VI.
1965,Marcos becomes President of the Philippines.
1965,"the anti-Communist purge in Indonesia, which killed up to 500,000 people."
1966,Beach Boys release Pet Sounds. China's Cultural Revolution begins.
1966,Boys release Pet Sounds.
1966,'s Cultural Revolution begins.
1966,Indonesia–Malaysia confrontation ends.
1966,of Botswana.
1966,of Lesotho.
1966,"Aberfan disaster, the catastrophic collapse of a colliery spoil tip (pile of waste coal mining material) in Aberfan, Wales results in 144 deaths."
1966,of Barbados.
1966,of Walt Disney.
1966,", a German computer scientist at MIT, completes ELIZA, the first chatbot."
1966,Boys release Pet Sounds.
1966,'s Cultural Revolution begins.
1967,military coup establishes a military dictatorship led by Georgios Papadopoulos. The dictatorship ends in 1974.
1967,"– 10: The Six-Day War, a conflict between Israel and Arab states that resulted in Israel occupying the Gaza Strip, the Sinal Peninsula, the West Bank and the Golan Heights."
1967,secession of the Republic of Biafra from Nigeria triggers the Nigerian Civil War.
1967,"of John Coltrane, American jazz saxophonist, clarinettist and composer."
1967,of Southeast Asian Nations (ASEAN) founded.
1967,Beatles release their landmark album Sgt. Pepper's Lonely Hearts Club Band.
1967,on the Pentagon becomes a major event in public opposition to the Vietnam War
1967,"Prime Minister Harold Holt disappears while swimming at Cheviot Beach, Victoria."
1967,rail introduced in Tokyo.
1967,"of Love, in which as many as 100,000 people, mostly young people sporting hippie fashions of dress and behavior, converged in San Francisco's neighborhood of Haight-Ashbury."
1968,"Protests erupt in the United States, Europe and Latin America."
1968,Prague Spring in Czechoslovakia crushed by the Eastern Bloc military intervention.
1968,The Tet Offensive occurs in South Vietnam.
1968,"Lai massacre, a mass murder and rape of unarmed South Vietnamese civilians by U.S. troops in the Vietnam War."
1968,of Karameh in Jordan (part of the War of Attrition between Israel and Arab states).
1968,of Martin Luther King Jr.
1968,of Robert F. Kennedy
1968,"1968 Democratic National Convention protests (""The whole world is watching"")"
1968,gains independence from Great Britain
1968,5 travels to the Moon with the first lifeforms to reach Earth's satellite
1968,"8 orbits the Moon with three NASA astronauts, becoming the first human spaceflight mission to enter the gravitational influence of another celestial body."
1968,strain of a flu in Hong Kong spreads again.
1968,begin in Northern Ireland.
1968,"of Lead, a period of social turmoil, political violence, and upheaval in Italy, begin."
1968,in South Lebanon begins.
1969,"Electronics founded in Suwon, South Korea."
1969,Nixon is inaugurated as President of the United States.
1969,"1 flies from the first time, from Toulouse, piloted by André Turcat."
1969,Sino-Soviet border conflict.
1969,de Gaulle resigns as President of France after a referendum on political reform is voted down.
1969,3: The Stonewall riots in New York City instigate the gay rights movement.
1969,"Moon landing, in which Neil Armstrong and Buzz Aldrin become the first two humans on the Moon."
1969,"– 9: The Manson Family Murders – Under Charles Manson's orders, his followers, the ""Manson Family"" cult, enter the home of Hollywood actress Sharon Tate and murder her and four others."
1969,"Woodstock festival in Bethel, New York, attracts an audience of more than 400,000."
1969,Gaddafi overthrows King Idris of Libya in a Coup d'état and establishes the Libyan Arab Republic.
1969,"of Advanced Research Projects Agency Network (ARPANET), the earliest incarnation of the Internet."
1969,Street premieres its debut episode.
1970,Nigerian Civil War ends with the reintegration of the Republic of Biafra with Nigeria after ~3 million deaths.
1970,flight of the Boeing 747.
1970,17: First Quarter Storm civil unrest in the Philippines.
1970,Chicago Seven are found not guilty of conspiring to incite riots at the 1968 Democratic National Convention.
1970,of the Treaty on the Non-Proliferation of Nuclear Weapons.
1970,.S. President Richard M. Nixon signs Public Health Cigarette Smoking Act.
1970,of the Beatles.
1970,"(Jim Lovell, Fred Haise, Jack Swigert) is launched toward the Moon."
1970,"Heyerdahl's papyrus boat Ra II arrived in Barbados, bringing an end to its 3,200 mi (5,100 km) journey across the Atlantic Ocean."
1970,"in Jordan begins, lasting until mid-1971."
1970,"FLQ seizes hostages, causing Prime Minister Pierre Elliot Trudeau of Canada to issue the War Measures Act."
1970,Public Broadcasting Service (PBS) began broadcasting as a successor to National Educational Television (NET) in the United States.
1970,Sadat becomes President of Egypt.
1970,"– 13: The Bhola Cyclone kills 500,000 people in East Pakistan."
1970,Yemen Civil War ends.
1970,– 19: 1970 Polish protests.
1970,of Airbus.
1970,"globally, massively boosting global trade."
1971,Amin seizes power in Uganda.
1971,"Liberation War and Bangladesh genocide occur, independence of Bangladesh from Pakistan precipitates Third Indo-Pakistani War."
1971,Public Radio (NPR) airs its first broadcast.
1971,"Twenty-sixth Amendment to the United States Constitution, formally certified by President Richard Nixon, lowers the voting age from 21 to 18."
1971,in Jordan ends.
1971,– 10: Internment begins in Northern Ireland.
1971,Mobutu renames The Republic of the Congo Zaire.
1971,"releases the world's first microprocessor, the Intel 4004."
1971,Indo-Pakistani War.
1971,removes gold back-up for the US Dollar triggering export of inflation from rich to poor nations.
1971,ends.
1971,.
1972,Mujibur Rahman returns to Bangladesh from imprisonment in Pakistan.
1972,Ireland's Bloody Sunday.
1972,– 28: U.S. President Richard M. Nixon makes an unprecedented 8-day visit to the People's Republic of China and meets with Mao Zedong.
1972,First Sudanese Civil War ends.
1972,"airplane serving Sabena Flight 571 from Brussels to Lod, Tel Aviv is hijacked by four members of the Black Organization, a Palestinian terrorist group, resulting in 3 deaths and 3 injuries."
1972,"Nixon and Leonid Brezhnev sign the SALT I treaty in Moscow, as well as the Anti-Ballistic Missile Treaty and other agreements."
1972,Airport massacre.
1972,"– 6: The Munich massacre, perpetrated by the Black terrorist organization and aimed at the Israeli Olympic team, results in 17 total deaths."
1972,"arcade game Pong, the first commercially successful video game, is released."
1972,"A Computer Animated Hand, one of the first ever computer animations."
1973,", Ireland and the United Kingdom joins the European Communities."
1973,Supreme Court of the United States decides Roe v. Wade.
1973,Floyd's album The Dark Side of the Moon is released in the UK.
1973,of the Sears Tower (later renamed to Willis Tower) completed.
1973,"first space station, Skylab, is launched."
1973,1973 Chilean coup d'état.
1973,1973 oil crisis.
1973,– 25: Yom Kippur War.
1973,sends back the first close-up images of Jupiter.
1973,1973–1975 recession begins.
1974,"close-up images of Mercury by Mariner 10. The Terracotta Army of Qin Shi Huang is discovered at Xi'an, China."
1974,images of Mercury by Mariner 10.
1974,"Army of Qin Shi Huang is discovered at Xi'an, China."
1974,Revolution in Portugal begins transition to democracy.
1974,The Turkish invasion of Cyprus leads to the creation of the Northern Cyprus.
1974,"– 9: Watergate scandal: Resignation of Richard Nixon; Vice President Gerald Ford assumes office as President of the United States, the first person not elected as either President or Vice President to take the role."
1974,Haile Selassie I of Ethiopia is overthrown in a military coup. Beginning of the Ethiopian Civil War.
1974,"of ""Lucy"" (Australopithecus afarensis) in Tanzania's Olduvai Gorge."
1974,begins in Argentina.
1974,reaches four billion.
1974,images of Mercury by Mariner 10.
1974,"Army of Qin Shi Huang is discovered at Xi'an, China."
1975,"00, the first commercially successful personal computer, is released."
1975,"founded in Albuquerque, New Mexico, by Bill Gates and Paul Allen."
1975,massacre in Lebanon triggers the Lebanese Civil War which lasts until 1990
1975,Cambodian Civil War ends with victory for the Khmer Rouge. Cambodian genocide begins.
1975,Fall of Saigon ends the Vietnam War.
1975,"Minister Indira Gandhi declares a state of emergency in India, suspending civil liberties and elections."
1975,"Helsinki Accords, which officially recognize Europe's national borders and respect for human rights, are signed in Finland."
1975,declares independence from Portugal and Angolan Civil War erupts.
1975,of Francisco Franco.
1975,Carlos I becomes King of Spain.
1975,invasion of East Timor begins.
1975,Fields murders begin.
1976,1976 Argentine coup d'état leads to a military dictatorship in Argentina.
1976,"Wozniak invents the Apple I and Steve Jobs then convinces Wozniak to sell the system, giving birth to Apple Computer."
1976,"– 18: Around 20,000 students took part in the Soweto uprising during Apartheid in South Africa."
1976,"Entebbe, a successful counter-terrorist hostage-rescue mission carried out by commandos of the Israel Defense Forces (IDF) at Entebbe Airport in Uganda."
1976,of Mao Zedong. Release of VHS (Video Home System) in Japan.
1976,Mao Zedong.
1976,VHS (Video Home System) in Japan.
1976,of Cultural Revolution.
1976,", a U.S. Senate select committee that investigated abuses by the CIA, NSA, FBI and Internal Revenue Service (IRS)."
1976,of the Ebola virus in Zaire.
1976,Mao Zedong.
1976,VHS (Video Home System) in Japan.
1977,Carter is inaugurated as President of the United States.
1977,Alia of Jordan is killed in helicopter crash.
1977,"Tenerife disaster in the Canary Islands, with 583 fatalities, marks the deadliest accident in aviation history."
1977,Shaba I conflict involves Safari Club.
1977,Wars is released and quickly becomes the highest-grossing film of all-time.
1977,gains independence from France.
1977,declares war on Ethiopia setting off the Ethio-Somali War.
1977,launched by NASA.
1977,launched by NASA.
1977,Autumn: Red Army Faction abduction of Hanns Martin Schleyer.
1977,of members of Baader-Meinhoff Group and murder of Hanns Martin Schleyer ends crisis in West Germany.
1977,last wild case of smallpox is eradicated by the WHO.
1977,President Anwar Sadat becomes the first Arab leader to visit Israel in the hopes of establishing peace between the two countries.
1977,the first mass-produced personal computers.
1978,"– 7: The Northeastern United States blizzard of 1978 hits the New England region and the New York metropolitan area, killing about 100, and causing over US$520 million in damage."
1978,1978 South Lebanon conflict.
1978,War in Afghanistan begins with the Saur Revolution.
1978,"'s first comic strip, originally published locally as Jon in 1976, goes into nationwide syndication."
1978,of Pluto's moon Charon.
1978,Brown is the first child successfully born after her mother received in vitro fertilisation treatment.
1978,Paul I becomes pope.
1978,Camp David Accords are signed between Israel and Egypt.
1978,"Paul I dies, his papacy being one of the shortest in history."
1978,of Tuvalu from Britain.
1978,Uganda–Tanzania War begins.
1978,Paul II becomes pope.
1978,"Jones's New religious movement, the Peoples Temple, ends in the organized mass killing and suicide of 920 people in Jonestown."
1978,Francisco Mayor George Moscone and City Supervisor Harvey Milk are assassinated by former Supervisor Dan White.
1978,Xiaoping commences the Chinese economic reform.
1978,Cambodian-Vietnamese War begins.
1978,"current Constitution of Spain comes into effect, which for some marks the completion of the Spanish transition to democracy."
1978,the Nicaraguan Revolution.
1978,artificial insulin.
1979,Vietnamese invasion of Kampuchea ends Cambodia's Khmer Rouge regime.
1979,Sino-Vietnamese War.
1979,Iranian Revolution ends. Shah Reza Pahlavi is overthrown and forced into exile.
1979,Treaty Organization dissolves.
1979,"Three Mile Island nuclear accident, a partial meltdown of reactor number 2 of Three Mile Island Nuclear Generating Station (TMI-2) in Dauphin County, Pennsylvania, near Harrisburg, and subsequent radiation leak."
1979,Thatcher becomes the first female Prime Minister of the United Kingdom.
1979,"of Pope John Paul II in Poland, eventually sparking the Solidarity movement."
1979,Uganda–Tanzania War ends with defeat for Uganda and the exile of Idi Amin.
1979,of John Wayne.
1979,of the Salvadoran Civil War.
1979,"of Park Chung Hee, President of South Korea."
1979,Iran hostage crisis begins.
1979,Insurgensts seize the Grand Mosque in Mecca.
1979,Rhodesian Bush War ends.
1979,Soviet–Afghan War begins.
1979,China's one-child policy.
1979,1.7 million people known to have been murdered in the Killing Fields.
1979,War phase of the Nicaraguan Revolution begins.
1979,79 oil crisis becomes the second one since 1973.
1980,"of Rhodesia, which becomes Zimbabwe."
1980,announces the eradication of smallpox.
1980,"1980 eruption of Mount St. Helens in Skamania County, state of Washington, leaves approximately 57 deaths and $1 billion of property damage."
1980,"of Pac-Man, the best-selling arcade game."
1980,of Cable News Network (CNN).
1980,"of ""O Canada"" as the national anthem of Canada."
1980,of Vanuatu.
1980,"union forms at Poland's Gdańsk Shipyard under Lech Wałęsa, and begins agitation for greater personal freedoms."
1980,of the Iran–Iraq War.
1980,takes the first close-up pictures of Saturn.
1980,of John Lennon.
1980,in Peru begins.
1980,War begins.
1980,continues.
1980,the Rubik's Cube.
1981,joins the European Communities.
1981,Reagan is inaugurated as President of the United States. Iran releases the 52 U.S. hostages held in Tehran after 444 days.
1981,is inaugurated as President of the United States.
1981,the 52 U.S. hostages held in Tehran after 444 days.
1981,attempt on U.S. president Ronald Reagan.
1981,orbital flight of the Space Shuttle.
1981,John Paul II assassination attempt.
1981,"AIDS epidemic officially begins in the United States, having originated in Africa; making this to be an ongoing pandemic."
1981,"Opera, a surprise airstrike conducted by the Israeli Air Force on an unfinished Iraqi nuclear reactor near Baghdad."
1981,of MTV.
1981,Personal Computer released.
1981,of Anwar Sadat.
1981,law in Poland begins.
1981,is inaugurated as President of the United States.
1981,the 52 U.S. hostages held in Tehran after 444 days.
1982,"– 28: The Hama massacre in Syria, a conflict between Syria and the Muslim Brotherhood, results in a decisive Syrian victory and about 10,000 deaths."
1982,withdraws from Sinai Peninsula.
1982,Falklands War.
1982,Israeli invasion of Lebanon begins.
1982,Sabra and Shatila massacre of thousands of Palestinians during the Lebanese Civil War.
1982,"releases the world's first commercially sold CD player, the Sony CDP-101."
1982,– 15: Death of Leonid Brezhnev; Yuri Andropov becomes General Secretary of the Communist Party of the Soviet Union.
1982,"Jackson releases his landmark album Thriller, the best-selling album of all time."
1982,first execution by lethal injection takes place in Texas.
1983,of Brunei.
1983,"Reagan announces the Strategic Defense Initiative, a proposed missile defense system to protect the United States from attack by ballistic nuclear missiles."
1983,Bombing of U.S. Embassy in Beirut results in 63 deaths.
1983,Sudanese Civil War begins.
1983,releases Mario Bros.
1983,Lankan Civil War begins.
1983,"Air Lines Flight 007, a scheduled flight from New York City to Seoul via Anchorage, Alaska, is shot down by a Soviet Su-15 interceptor, resulting in 269 fatalities and no survivors. This leads to the declassification of GPS development."
1983,"Lynn Williams becomes the first African-American to be crowned Miss America, in Atlantic City, New Jersey."
1983,"Beirut barracks bombing results in the deaths of 307 people, hastening the removal of international peacekeeping forces in Lebanon."
1983,– 29: Invasion of Grenada by the United States.
1983,of dictatorship in Argentina.
1984,"– 10: Indian Armed Forces launch Operation Blue Star against Sikh separatists in Punjab, India, leading to thousands of civilian deaths."
1984,"of Indira Gandhi, Indian Prime Minister."
1984,disaster.
1984,Joint Declaration agrees to hand Hong Kong back to China by 1997.
1984,", the covert evacuation of Ethiopian Jews from Sudan during a civil war that caused a famine."
1984,"immunodeficiency virus (HIV) is recognized as the cause of HIV/AIDS, and research on zidovudine and other treatments gets underway."
1984,the 1983–1985 famine in Ethiopia and the 1984–85 UK miners' strike.
1985,Gorbachev becomes General Secretary of the Communist Party of the Soviet Union.
1985,of military leadership in Brazil.
1985,of 1982 Lebanon War.
1985,Aid.
1985,"of the Iran–Contra affair, a political scandal in the United States that occurred during the second term of the Reagan Administration involving the sale of arms to the Khomeini government of the Islamic Republic of Iran."
1985,"73 years after its infamous disaster, the wreck of the Titanic is found off the coast of Newfoundland by a joint French–American expedition led by Jean-Louis Michel of IFREMER and Robert Ballard of the Woods Hole Oceanographic Institution."
1985,"earthquake in Mexico City, magnitude 8.0, kills from 5,000 to 45,000 people."
1985,"date of the Macintosh 128K, the first successful mass-market personal computer to feature a graphical user interface, built-in screen, and mouse."
1985,"Armero tragedy, in which 20,000 people die following the eruption of the Nevado del Ruiz stratovolcano in Tolima, Colombia."
1985,".0, the first Microsoft Windows operating system, released."
1985,of DNA fingerprinting.
1986,and Spain joins the European Communities.
1986,– 24: South Yemen Civil War.
1986,close-up images of the planet Uranus
1986,"Space Shuttle Challenger breaks apart 73 seconds into its flight, killing all seven crew members aboard."
1986,– 25: The People Power Revolution leads to the end of the dictatorship of Ferdinand Marcos in the Philippines.
1986,"of Olof Palme, Prime Minister of Sweden."
1986,of Halley's Comet.
1986,.S. planes bomb Libya in Operation El Dorado Canyon.
1986,Chernobyl disaster in Ukraine kills about 100 people.
1986,12: A breakthrough in nuclear arms control at the Reykjavík Summit.
1986,"Machel, the first President of Mozambique, dies in a plane crash."
1986,Iran–Contra affair publicly announced.
1987,"– 29: The Democratic Struggle, a nationwide pro-democracy movement in South Korea, leads to democratic reforms and an end to authoritarian rule."
1987,"Battle of Cuito Cuanavale, Angola begins and further intensifies the South African Border War."
1987,"radioactive contamination accident in Goiânia, Brazil, leaves 249 people contaminated, four of which die."
1987,"founded in Shenzhen, China by Ren Zhengfei."
1987,market crash of 1987.
1987,antidepressant drug fluoxetine (marketed as Prozac) becomes commercially available.
1987,"First Intifada between Israel and Palestine begins. The Intermediate-Range Nuclear Forces Treaty is signed in Washington, D.C., by U.S. President Ronald Reagan and Soviet leader Mikhail Gorbachev."
1987,Intifada between Israel and Palestine begins.
1987,"Nuclear Forces Treaty is signed in Washington, D.C., by U.S. President Ronald Reagan and Soviet leader Mikhail Gorbachev."
1987,"passenger ferry MV Doña Paz sinks after colliding with the oil tanker MT Vector 1 in the Tablas Strait in the Philippines, killing an estimated 4,000 people (history's worst peacetime maritime disaster)."
1987,reaches five billion.
1987,Intifada between Israel and Palestine begins.
1987,"Nuclear Forces Treaty is signed in Washington, D.C., by U.S. President Ronald Reagan and Soviet leader Mikhail Gorbachev."
1988,"of the perestroika (""restructuring""), a political movement for reformation within the Communist Party of the Soviet Union during the 1980s associated with Gorbachev and his glasnost (""openness"") policy reform."
1988,Teng-hui takes control of Taiwan and oversee end of martial law and full democratization of island.
1988,"Halabja chemical attack is carried out by Iraqi government forces, killing thousands."
1988,"Piper Alpha oil rig in the North Sea catches fire and explodes, killing 165."
1988,of the Iran–Iraq War.
1988,'s Augusto Pinochet loses a national plebiscite on his rule.
1988,"worm, first computer virus distributed through the Internet."
1988,–Palestinian conflict; beginning with the independent State of Palestine being proclaimed from Algiers.
1988,Bhutto elected Prime Minister of Pakistan months after restoration of civilian rule in the wake of Muhammad Zia-ul-Haq's death in plane crash.
1988,earthquake in Armenia.
1988,"Am Flight 103 is destroyed by a bomb and falls over Lockerbie, Scotland, killing 259 people on-board, leaving no survivors, and 11 in town."
1988,1988 Polish strikes.
1988,"Forces launch a military coup, ending the 8888 uprising."
1988,Nagorno-Karabakh War begins.
1988,the Channel Tunnel begins.
1988,", Zebra mussels, found in the Great Lakes system."
1989,89 bring down Communist and authoritarian regimes around the world.
1989,"Shōwa (Hirohito) dies; his son, Akihito (the Emperor Heisei) becomes Emperor of Japan."
1989,H. W. Bush is inaugurated as President of the United States.
1989,Stroessner is overthrown in Paraguay. End of dictatorship.
1989,issued against Salman Rushdie.
1989,of the Soviet war in Afghanistan.
1989,"oil tanker Exxon Valdez spills 10.8 million US gallons of crude oil after striking a reef, causing severe damage to the environment."
1989,"Tiananmen Square Massacre, in which troops armed with assault rifles and accompanied by tanks fired at student-led demonstrations held in Tiananmen Square, Beijing, resulting in an undisclosed number of deaths (estimated in hundreds to thousands)."
1989,Khomeini dies; Ali Khamenei becomes Supreme Leader of Iran.
1989,"1989 Polish legislative election although the elections were not entirely democratic, they led to the formation of a government led by Tadeusz Mazowiecki and a peaceful transition to democracy in Poland and elsewhere in Central and Eastern Europe. 1989 Tiananmen Square protests. A crackdown takes place in Beijing on the army's approach to the square, and the final stand-off in the square is covered live on television."
1989,"1989 Polish legislative election although the elections were not entirely democratic, they led to the formation of a government led by Tadeusz Mazowiecki and a peaceful transition to democracy in Poland and elsewhere in Central and Eastern Europe."
1989,"1989 Tiananmen Square protests. A crackdown takes place in Beijing on the army's approach to the square, and the final stand-off in the square is covered live on television."
1989,"unknown Chinese protester, ""Tank Man"", stands in front of a column of military tanks on Chang'an Avenue in Beijing, temporarily halting them, an incident which achieves iconic status internationally through images taken by Western photographers."
1989,"makes its closest approach to Neptune and its largest moon, Triton."
1989,".9 Mw Loma Prieta earthquake shakes the San Francisco Bay Area and the Central Coast, killing 63."
1989,"of the Berlin Wall; the Revolutions of 1989 and the collapse of the Soviet Bloc begin in Europe, which leads to the end of the Cold War."
1989,17: The first direct Presidential election in Brazil since 1960.
1989,Communist government of Czechoslovakia falls during the Velvet Revolution.
1989,first episode of The Simpsons premieres on Fox.
1989,United States invasion of Panama begins.
1989,First Liberian Civil War begins.
1989,Revolution: Trial and execution of Nicolae and Elena Ceaușescu in Romania.
1989,"1989 Polish legislative election although the elections were not entirely democratic, they led to the formation of a government led by Tadeusz Mazowiecki and a peaceful transition to democracy in Poland and elsewhere in Central and Eastern Europe."
1989,"1989 Tiananmen Square protests. A crackdown takes place in Beijing on the army's approach to the square, and the final stand-off in the square is covered live on television."
1990,"first McDonald's in Moscow, Russian SFSR opens 8 months after construction began on 3, 1989"
1990,"Mandela is released from Victor Verster Prison outside Cape Town, South Africa after 27 years as a political prisoner."
1990,of the dictatorship of Augusto Pinochet in Chile.
1990,United States begins broadcasting Radio y Televisión Martí to Cuba.
1990,20: Launch of the Hubble Space Telescope.
1990,"Star, a Bahamas-registered ferry, catches fire en route from Norway to Denmark, leaving 158 dead."
1990,and South Yemen unify to form the Republic of Yemen.
1990,".4 Mw Manjil–Rudbar earthquake affects northern Iran with a maximum Mercalli intensity of X (Extreme), killing 35,000–50,000, and injuring 60,000–105,000."
1990,"earthquake in Luzon happens, measuring Mw 7.7 kills more than 1,600 in the Philippines."
1990,– 4: Gulf War begins.
1990,Armed Forces place Aung San Suu Kyi under house arrest.
1990,reunification.
1990,War begins.
1990,"Berners-Lee publishes the first web site, which described the World Wide Web project."
1990,War ends.
1990,"Panel on Climate Change releases its first assessment report, linking increases in carbon dioxide in the Earth's atmosphere, and a resultant rise in global temperature, to human activities."
1991,Gulf War ends in US withdrawal and a failed uprising.
1991,video captures the beating of motorist Rodney King by Los Angeles police officers. Four Los Angeles police officers are indicted on 15 for the beating.
1991,of the Sierra Leone Civil War.
1991,"II becomes the first British monarch to address the U.S. Congress during a 13-day royal visit in Washington, D.C."
1991,"of Rajiv Gandhi, Indian Prime Minister."
1991,"– 25: Operation Solomon, a covert Israeli military operation to airlift Ethiopian Jews to Israel."
1991,– 15: Mount Pinatubo erupts with a Volcanic Explosivity Index of 6 and reduces global temperatures.
1991,7: The Ten-Day War in Slovenia begins the Yugoslav Wars.
1991,"George H. W. Bush nominates the controversial Clarence Thomas for the Supreme Court of the United States to replace Thurgood Marshall, who had announced his retirement. The world's first GSM telephone call is made in Finland."
1991,'s first GSM telephone call is made in Finland.
1991,Yeltsin becomes the first President of Russia.
1991,"solar eclipse of record totality occurs in the Northern hemisphere. It is seen by 20 million people in Hawaii, Mexico, and Colombia."
1991,"Edwards escapes Jeffrey Dahmer's apartment and flags down a police car and the cops search through Jeffrey's stuff and find photographs of dismembered bodies and other gruesome images, which finally leads to the arrest of Jeffrey Dahmer and ends his killing spree."
